r (Ang), PDF (RMC), PDF (Expt)
   4.4800000000000004       ,   0.15042209616982002       ,   0.16655284275519913     
   4.5000000000000000       ,   0.21844540861918244       ,   0.18085246706436847     
   4.5200000000000005       ,   0.14757552734533094       ,   0.17589845612773664     
   4.5400000000000000       ,   0.17466106926624675       ,   0.15067519964658069     
   4.5600000000000005       ,    7.1569717168497568E-002  ,   0.10794751365286323     
   4.5800000000000001       ,    3.8745577293951436E-002  ,    5.3504403209742604E-002
   4.6000000000000005       ,   -1.8498149308027578E-002  ,   -5.2128107590587048E-003
   4.6200000000000001       ,   -1.4757165653816084E-002  ,   -6.0712906865668603E-002
   4.6399999999999997       ,   -9.2649073338512605E-002  ,  -0.10688029512343621     
   4.6600000000000001       ,  -0.12678353290081543       ,  -0.13990441468085216     
   4.6799999999999997       ,  -0.16396705872954284       ,  -0.15855939319827864     
   4.7000000000000002       ,  -0.16921092712241553       ,  -0.16387076969523864     
   4.7199999999999998       ,  -0.13396023268733542       ,  -0.15836518249056997     
   4.7400000000000002       ,  -0.15083535564064982       ,  -0.14518377692411616     
   4.7599999999999998       ,  -0.13750389182995529       ,  -0.12733267849687263     
   4.7800000000000002       ,  -0.14112713282856931       ,  -0.10725496157121596     
   4.7999999999999998       ,   -4.1805873836333073E-002  ,   -8.6772745847484775E-002
   4.8200000000000003       ,   -2.1613881982166881E-002  ,   -6.7312045629346617E-002
   4.8399999999999999       ,   -7.4322464221227291E-002  ,   -5.0230591359121203E-002
   4.8600000000000003       ,   -7.9801341927055208E-002  ,   -3.7047594044283191E-002
   4.8799999999999999       ,   -9.6052545045477583E-002  ,   -2.9427746921577833E-002
   4.9000000000000004       ,   -7.4501976999043193E-002  ,   -2.8878761102268485E-002
   4.9199999999999999       ,   -7.3068917941594480E-002  ,   -3.6244557147503818E-002
   4.9400000000000004       ,    3.3819499004255349E-002  ,   -5.1172470964222505E-002
   4.9600000000000000       ,  -0.10035644079042301       ,   -7.1769053497919427E-002
   4.9800000000000004       ,   -5.2726407604897323E-002  ,   -9.4621313701462748E-002
   5.0000000000000000       ,  -0.10850877170720886       ,  -0.11525844426822983     
   5.0200000000000005       ,   -8.9146993655099871E-002  ,  -0.12899376690423253     
   5.0400000000000000       ,  -0.12325666244459751       ,  -0.13195968922486098     
   5.0600000000000005       ,   -6.8980734687387593E-002  ,  -0.12207012402130735     
   5.0800000000000001       ,   -7.9131616350124889E-002  ,   -9.9641366932709155E-002
   5.1000000000000005       ,    8.8561328691357313E-003  ,   -6.7478056769966044E-002
   5.1200000000000001       ,   -2.1632118927830929E-002  ,   -3.0366175120441968E-002
   5.1399999999999997       ,   -3.4612156810630852E-002  ,    5.9273284968688585E-003
   5.1600000000000001       ,    2.8515130470655889E-002  ,    3.5913320824606569E-002
   5.1799999999999997       ,    1.7023720786784005E-002  ,    5.5588300419488972E-002
   5.2000000000000002       ,   -2.3831653452403668E-002  ,    6.3290068543647854E-002
   5.2199999999999998       ,    5.3327657191696132E-002  ,    5.9989254813276688E-002
   5.2400000000000002       ,    6.4018947174433183E-002  ,    4.8950459592440307E-002
   5.2599999999999998       ,    3.6025209315621212E-002  ,    3.4859071102051081E-002
   5.2800000000000002       ,    4.8335544829923360E-002  ,    2.2644402443497771E-002
   5.2999999999999998       ,    1.1160617613632129E-002  ,    1.6300751348919718E-002
   5.3200000000000003       ,    1.8052030616146082E-002  ,    1.7997646079187482E-002
   5.3399999999999999       ,   -3.5562130307860776E-002  ,    2.7684049379826152E-002
